archetype,name_match_score,three_rate,inside_score,fta_per_g,fg3_pct,treb_pct,oreb_pct,blk_per_g,usg_pct,ast_pct,ast_tov_ratio,pts_per_g,tov_per_g,pos_encoded,height_in,ncaa_player,wnba_player,match_year
Interior Big,0.8,0.3168916412319005,1.6491442073258071,3.907692235862991,0.2614769229811506,7.047692298115066,2.369230745287664,0.1738461490575327,23.567692173610915,21.603076209572375,1.3563421596521608,13.226153539682096,2.5076922358629905,0.0,67.0,Aniya Thomas,Alyssa Thomas,2023
Floor General,1.0,0.5452460250265231,3.0074928788219792,7.06479542787416,0.3738464499959387,11.61668656831262,1.5183836040771357,0.5163950273505878,38.49929597239575,48.53432994923973,1.8574260643429212,29.675372578837088,4.562387637477447,0.0,72.0,Caitlin Clark,Caitlin Clark,2024
Floor General,1.0,0.3734177215189874,2.2325,5.4,0.383,12.6,6.9,1.3,27.1,19.3,1.7368421052631575,20.5,1.8,0.0,74.0,Rhyne Howard,Rhyne Howard,2022
Post Scorer,0.8,0.5238095238095238,0.1199999999999999,0.0999999999999999,0.154,10.4,4.3,0.0,14.5,14.7,0.8571428571428572,1.3,0.6,0.5,72.0,Janae Charles,Tina Charles,2022
Post Scorer,0.828,0.4638555630773502,0.9663990138652252,1.0033592140283878,0.3789029219336746,9.447079231903224,7.483267426649619,0.1940539444006173,25.05720921190331,7.820343511634812,0.5463045489295145,7.13269673889816,0.7749805396682495,0.5,75.0,Annika Stewart,Breanna Stewart,2025
Post Scorer,1.0,0.0185646173217307,3.479672406388325,8.39849228430167,0.1412145123270794,22.75336768074535,19.940378960441592,1.226859514344084,28.58720851979131,12.932739330094243,0.893116221643085,20.03883424818362,2.343928178436581,0.5,75.0,Angel Reese,Angel Reese,2024
Post Scorer,1.0,0.080279684294748,3.1266550447583557,4.178563822921395,0.1794163355518582,21.846869238138463,15.132613946452883,2.1591793273836544,22.82953642414159,14.332613946452886,1.366645076048272,14.512203610144716,1.3193844955377405,0.5,77.0,Aliyah Boston,Aliyah Boston,2023
Combo Guard,1.0,0.0691823899371069,4.8132,5.6,0.2369999999999999,21.0,12.3,1.1,31.0,8.1,0.4230769230769231,22.1,2.5,0.5,76.0,NaLyssa Smith,NaLyssa Smith,2022
Floor General,0.8,0.5263157894736842,0.1752,0.5,0.15,11.2,2.1,0.1,10.3,8.5,1.1666666666666667,1.5,0.5,0.0,70.0,Jade Thomas,Jasmine Thomas,2022
Stretch Big,0.929,0.5963694619080855,0.3073174124903551,0.7107899864233388,0.3516570230803241,7.053949932116693,1.7784200271533226,0.1999999999999999,24.44527956554684,4.094219755620098,0.2202950045110961,6.581310149343274,1.310789986423339,0.0,70.0,Jayla Thornton,Kayla Thornton,2023
Combo Guard,1.0,0.1543121123352649,3.7147697556235313,4.56549029510297,0.3173046422445166,12.27330079746342,8.291935769893039,0.4724068873731402,30.751222911523424,13.49230036950214,0.6584133891886805,19.8324463019818,2.651975184501699,0.5,74.0,Rickea Jackson,Rickea Jackson,2024
Post Scorer,0.867,0.0091247707087355,1.0457371716244412,1.3833406390862404,0.0,12.416790864466089,8.483472142638568,1.0916922368018416,19.19995616548256,9.966725112689923,0.460676813592317,5.175076710405524,1.3833406390862404,0.5,76.0,Brittany Garner,Brittney Griner,2023
Post Scorer,1.0,0.0,2.7778012182363017,3.479834049692815,1.0,20.763538883401697,17.871638303399923,2.201460851201126,23.083694687002698,12.283571071232464,1.0804853225379507,12.04811919967782,1.349212052206667,1.0,79.0,Kamilla Cardoso,Kamilla Cardoso,2024
Post Scorer,0.8,0.6285450210419529,0.3294894191821977,0.1304220675041093,0.216319350278022,8.43717779012665,5.603654992702245,0.3780094757910269,13.485874247079638,7.78993901451969,0.9142105087711132,2.554057118256693,0.4020399615302818,0.25,71.0,Briana Johns,Brionna Jones,2025
Combo Guard,1.0,0.2209881845316582,2.7304352160917604,6.225436931129136,0.2468471558599055,11.021197442607612,5.3008553161482945,1.188136850583727,31.070360672569297,19.772889528794227,0.8853186296116856,17.854258034631496,3.144068425291864,0.0,75.0,Diamond Miller,Diamond Miller,2023
Floor General,0.8,0.2459016393442623,0.9891,2.2,0.292,10.599999999999998,6.200000000000001,0.5,15.900000000000002,5.799999999999999,0.4999999999999998,6.9,1.3000000000000005,0.5,72.0,Molina Williams,Riquna Williams,2022
Floor General,0.815,0.6163752626382278,0.1917159283314581,0.5,0.3009791974247266,4.199459456869007,0.7210483202633354,0.0,18.27046681963403,6.258902530738689,0.207562921548556,2.2242096640526676,1.0968386562106682,0.0,66.0,Chelsea Graiver,Chelsea Gray,2025
Floor General,0.839,0.1351884989058909,1.3968343836695551,4.010448963821103,0.2459502046598929,8.664163470325661,6.811918651220148,0.063183678726299,25.308489380622376,13.402530055012305,0.6851627574688813,10.867673316937328,1.9890611403792156,0.0,69.0,Timia Jefferson,Moriah Jefferson,2024
3-and-D Wing,0.8,0.563001406458696,0.9086926609261065,2.9281415089314944,0.34141680689795,6.493675201693468,2.205671860545187,0.5111117646563753,21.8635347752638,12.301708349968145,0.8282945893605022,11.3914455232192,1.810750920575474,0.0,71.0,Taliyah Clark,Alysha Clark,2025
Stretch Big,0.957,0.2554883604085116,2.262049502459511,3.1172500635349265,0.2957859984751617,17.050324853869668,9.31374968232537,1.1455250571814335,21.330350038120955,16.477950139776837,1.4063608388995663,12.24902543839099,1.8738000508279409,0.5,77.0,Dorka Juhasz,Dorka Juhász,2023
Floor General,0.828,0.3661971830985915,1.808,5.5,0.418,6.6,1.1,0.2,28.5,14.8,0.8333333333333334,19.2,2.3,0.0,69.0,Lindsey VanAllen,Lindsay Allen,2022
Stretch Big,1.0,0.2142113105746413,4.854243093250632,6.50297779352566,0.356340416814303,15.059149982283634,9.434894430665048,1.1378722241907075,36.65744448381415,13.028938843613728,1.0,27.988508371718797,1.5242555516185852,0.5,73.0,Maddy Siegrist,Maddy Siegrist,2023
Floor General,1.0,0.3359015369999687,2.7575260490747224,3.789337504042662,0.3533062741529133,6.020786237966428,3.4204556101365946,0.2234989795384412,24.77850969417041,22.05492805767451,1.4741373115295546,17.63600658560376,2.514534185247818,0.0,70.0,Jacy Sheldon,Jacy Sheldon,2024
Post Scorer,1.0,0.0416666666666666,2.5596,6.0,0.235,20.8,10.4,2.1,29.6,13.5,0.6799999999999999,15.2,2.4,1.0,77.0,Shakira Austin,Shakira Austin,2022
Post Scorer,1.0,0.1489188731767695,2.4811126321074375,3.814404028815981,0.2773948187896283,14.989326178669137,7.867150334295542,1.069740939481413,32.6380308760762,27.080103360224896,0.9881615546361218,15.781554363111525,3.4538859077788064,0.0,74.0,Jordan Horston,Jordan Horston,2023
Post Scorer,1.0,0.1514910033023565,2.8800141268095656,5.148494405418974,0.2702175227671833,22.892314337681796,12.220404371550384,3.6257527972905135,31.76053916206718,20.03011189162051,0.9715055945810256,16.546157168840896,2.4,0.5,76.0,Cameron Brink,Cameron Brink,2024
Interior Big,1.0,0.0060420358700893,3.7249927059992864,3.999073172080575,0.3951500132613278,15.903923158819248,10.343239705717965,0.9576614448621396,24.83903792290298,12.947389968229546,0.7737487152866884,15.795149847636567,2.60662661055956,0.5,75.0,Aaliyah Edwards,Aaliyah Edwards,2024
Post Scorer,1.0,0.0,2.15,3.3,0.0,21.5,15.2,1.8,25.2,7.4,0.45,11.0,1.9,1.0,75.0,Queen Egbo,Queen Egbo,2022
Stretch Big,1.0,0.014388489208633,4.582,7.0,0.0,18.5,18.4,0.5,30.1,15.4,0.6,21.0,3.4,0.5,74.0,Naz Hillmon,Naz Hillmon,2022
Floor General,1.0,0.3917517270051518,0.1770222266442868,0.2570481588699534,0.2363064930060621,9.154494050486102,3.5140963177399067,0.1628192635479814,14.690349011117467,4.99290311950132,0.3523253758614662,1.814096317739907,0.4512770541919255,0.25,71.0,Danielle Robinson,Danielle Robinson,2024
Stretch Big,1.0,0.2450980392156863,1.813,2.6,0.372,22.4,12.5,1.8,26.2,16.4,0.8518518518518517,11.9,2.6,0.5,73.0,Emily Engstler,Emily Engstler,2022
3-and-D Wing,1.0,0.046875,0.7434,2.7,0.222,23.2,19.8,0.7,16.6,9.2,0.9999999999999998,6.3,1.1,0.5,72.0,Haley Jones,Haley Jones,2022
Floor General,1.0,0.3867924528301886,1.0556,2.0,0.399,6.0,2.7,0.1,20.7,24.3,1.7727272727272727,11.5,2.1,0.0,67.0,Destanni Henderson,Destanni Henderson,2022
Combo Guard,1.0,0.3,1.1811,3.1,0.325,8.0,4.4,0.3,25.9,12.2,0.7619047619047619,12.3,2.0,0.25,73.0,Rae Burrell,Rae Burrell,2022
Floor General,1.0,0.3410852713178294,1.8057,6.8,0.326,9.2,3.7,0.9,23.9,39.2,2.909090909090909,17.8,2.1,0.0,69.0,Veronica Burton,Veronica Burton,2022
Stretch Big,1.0,0.0483870967741935,2.149,2.8,0.273,17.9,12.1,1.7,17.6,22.2,1.5217391304347825,9.2,2.2,0.5,77.0,Olivia Nelson-Ododa,Olivia Nelson-Ododa,2022
Floor General,1.0,0.3904479235198122,1.2300248898717372,2.274903308030592,0.3221357863189908,9.129502034432852,4.090630975784622,0.7446277378424719,22.573057932668608,19.18465439844176,1.173230099273937,10.657717032792211,2.3888687078073105,0.0,71.0,Celeste Taylor,Celeste Taylor,2024
Floor General,1.0,0.0735453676786843,2.566789722938614,3.6306629192612374,0.3358821425252395,9.62292808696573,2.151289138715917,0.2512891387159174,24.05359100622697,28.7593003809322,1.9874500470478085,14.507458422374723,2.5487108612840825,0.0,72.0,Grace Berger,Grace Berger,2023
Floor General,1.0,0.3762428395910569,1.3442220794113406,3.3379945419297017,0.3238944519825682,4.224802183228119,2.525329694619801,0.1,27.338522053321384,12.6253296946198,0.9069096347290064,13.639049564713062,1.9124010916140597,0.0,69.0,Zia Cooke,Zia Cooke,2023
Interior Big,1.0,0.0,3.15930075084154,4.541752239408342,0.0,20.05927808374343,13.899484838424112,1.0118556167486858,24.546392143842972,7.395360095565369,0.4084163074405091,14.67834941280617,2.4355668502460572,0.5,76.0,Dulcy Fankam Mendjiadeu,Dulcy Fankam Mendjiadeu,2023
3-and-D Wing,1.0,0.4761904761904761,4.0509,3.5,0.286,16.4,4.4,1.8,38.4,22.1,1.1363636363636362,22.8,2.1,0.0,73.0,Kierstan Bell,Kierstan Bell,2022
Floor General,1.0,0.3999972554578486,1.446097870561399,2.064557872440615,0.3696275092820892,10.660938587205123,4.721779281014451,0.5023537548005068,16.808210739503615,14.95827784813861,1.4562495391717076,10.458403937973458,1.8910080203968656,0.0,72.0,Kate Martin,Kate Martin,2024
Floor General,1.0,0.4736842105263158,1.2078000000000002,2.0,0.305,8.8,2.5,0.2,18.7,19.1,1.631578947368421,9.0,1.8,0.0,72.0,Evina Westbrook,Evina Westbrook,2022
Floor General,1.0,0.4347826086956521,1.4787,0.5,0.367,6.5,3.0,0.3,22.0,17.6,1.9285714285714288,12.0,1.3,0.0,72.0,Kianna Smith,Kianna Smith,2022
3-and-D Wing,0.88,0.4551997184725958,0.4823839627564747,0.9910036411489112,0.3009100364114891,5.473010923446734,2.6272862344498447,0.1727137655501555,19.683344492832425,14.75561252153771,0.7572205192112339,5.600445736844867,1.4728623444984446,0.0,69.0,Jaylynn Brown,Jaelyn Brown,2023
