player_id,player,pos,n_seasons,most_recent_year,total_mp,mpg_latest,mpg,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,oreb_per_g,dreb_per_g,treb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,oreb_pct,dreb_pct,treb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,wins,losses,trend_bpm,trend_pts_per_g,trend_ws_per_40,conference,team,team_id,adj_opp_win_pct,opp_win_pct,height_in,weight_lbs,cluster,pca1,pca2,archetype,archetype_score,rank_in_archetype,ast_tov_ratio,three_rate,inside_score,def_composite,is_multi_year,readiness_score
Sigrun Olafsdottir,Sigrun Olafsdottir,G,1,2025,660,38.2,38.2,2.7,6.6,0.412,1.6,4.1,0.3999999999999999,1.1,2.5,0.432,0.536,0.7000000000000001,0.7999999999999999,0.808,0.7999999999999999,4.3,5.1,2.9999999999999996,2.3,0.1999999999999999,1.4999999999999998,1.9,7.7,15.7,0.456,0.038,0.328,9.5,15.6,0.127,0.125,3.5,1.7,19.6,0.275,0.5,1.6,2.1,0.1239999999999999,-4.5,0.7000000000000001,-3.8,17.0,15.000000000000002,0.0,0.0,0.0,Southern Conference,Chattanooga,chattanooga,0.5233,0.5037,,,2,2.052993426,0.700506762,Primary Creator,0.2552518535004595,469.0,1.875,0.6119402985074627,0.4752,4.1,0,39.65
Amaris Baker,Amaris Baker,G,1,2025,1130,37.7,37.7,6.6,16.3,0.402,1.5,5.1,0.289,5.1,11.3,0.453,0.4469999999999999,2.4,3.2,0.732,1.6,2.5,4.2,1.9,0.9,0.0,2.2,1.9,17.0,16.8,0.475,0.31,0.198,4.9,8.1,0.065,0.129,1.4,0.1,10.8,0.276,2.5,0.9,3.4,0.1209999999999999,1.4,-3.0,-1.7,17.0,13.0,0.0,0.0,0.0,Coastal Athletic Association,Drexel,drexel,0.5082,0.4921,,,2,2.146903783,0.884908696,Primary Creator,0.129632627849901,526.0,0.8260869565217391,0.3109756097560975,2.3103,1.8,0,42.47
Belle Lanpher,Belle Lanpher,G,1,2025,942,37.7,37.7,7.5,16.9,0.444,1.9,4.9,0.388,5.6,12.0,0.467,0.5,5.4,6.0,0.892,1.7,4.0,5.6,3.5,1.5,0.1,3.0,3.0,22.3,13.7,0.417,0.244,0.163,6.4,13.3,0.098,0.156,1.4,2.1,12.6,0.1939999999999999,0.9,0.5,1.5,0.063,-1.4,-3.4,-4.8,11.0,19.0,0.0,0.0,0.0,Northeast Conference,Central Connecticut State,central-connecticut-state,0.4277,0.4226,,,2,3.832291226,0.662325883,Primary Creator,-1.121609976356615,1074.0,1.129032258064516,0.2882352941176471,2.6152,2.1,0,33.61
Mackenzie Amalia,Mackenzie Amalia,G,1,2025,870,37.4,37.4,3.0,9.3,0.316,1.3,5.2,0.257,1.6,4.1,0.391,0.388,2.1,2.8,0.746,0.9,1.3,2.2,4.599999999999999,1.2,0.1,3.8,2.0,9.3,11.5,0.505,0.44,0.351,6.4,9.9,0.08,0.07,2.2999999999999994,0.9,19.0,0.141,1.0,-0.6,0.4,0.016,-0.7,-2.2999999999999994,-3.1,2.0,27.0,0.0,0.0,0.0,Mid-American Conference,Eastern Michigan,eastern-michigan,0.5225,0.5026,,,2,2.46413765,0.817253171,Primary Creator,-1.6187418021165223,1157.0,1.1794871794871793,0.5531914893617021,0.6256,0.7000000000000001,0,35.48
Grace Larkins,Grace Larkins,G,1,2025,1158,37.4,37.4,9.1,18.4,0.493,1.0,3.2,0.323,8.0,15.2,0.529,0.521,4.8,6.6,0.723,2.2,7.299999999999999,9.5,5.5,1.7999999999999998,0.4,4.0,2.5,24.0,34.8,0.556,0.174,0.361,6.5,21.7,0.142,0.4479999999999999,2.8,1.0,15.699999999999998,0.363,5.9,0.8,6.699999999999999,0.232,5.9,0.1,6.0,11.0,20.0,0.0,0.0,0.0,Summit League,South Dakota,south-dakota,0.5169,0.5071,,,2,6.486642064,-0.995165765,Primary Creator,1.8334570846139775,33.0,1.3414634146341464,0.1729729729729729,4.232,3.0,0,67.08
Peyton Carter,Peyton Carter,G,1,2025,941,37.2,37.2,3.4,8.6,0.393,2.4,6.7,0.366,0.9,1.9,0.484,0.535,2.3,2.8,0.843,1.2,3.6,4.8,3.7,1.7,0.3,2.1,2.2,11.5,15.6,0.525,0.33,0.374,3.5,14.7,0.092,0.217,2.2,0.6,25.2,0.241,1.5,1.2,2.8,0.118,-1.2,-1.2,-2.3,26.0,6.0,0.0,0.0,0.0,Ohio Valley Conference,Tennessee Tech,tennessee-tech,0.5017,0.4843,,,2,3.413509122,1.340274369,Primary Creator,0.9562426868605324,180.0,1.6818181818181817,0.7701149425287357,0.4356,3.2,0,43.11
Savannah Tucker,Savannah Tucker,G,1,2025,1112,37.1,37.1,5.1,13.4,0.379,1.9,5.8,0.322,3.2,7.6,0.423,0.4489999999999999,4.6,5.7,0.807,0.4,2.5,2.8,2.4,1.2,0.7,1.7,1.4,16.6,19.0,0.516,0.434,0.4259999999999999,0.9000000000000001,6.5,0.037,0.136,1.8000000000000005,1.8000000000000005,9.4,0.215,3.4999999999999996,0.7,4.3,0.154,3.0,-1.4,1.6,16.0,13.999999999999998,0.0,0.0,0.0,Big West Conference,Long Beach State,long-beach-state,0.4757,0.466,,,2,3.432321573,0.490182645,Primary Creator,0.6557196259380509,291.0,1.3333333333333333,0.4296296296296297,1.3536,2.5999999999999996,0,48.82
Emma Ronsiek,Emma Ronsiek,F,1,2025,1188,37.1,37.1,6.1,14.6,0.418,2.3,6.3,0.355,3.8,8.3,0.466,0.495,3.3,4.0,0.814,0.9000000000000001,5.1,6.0,2.6,0.8,0.3,1.4,1.3,17.7,24.0,0.537,0.435,0.276,2.9,14.7,0.091,0.162,1.3,1.0,8.0,0.265,4.3,1.4,5.7,0.19,5.7,-0.6,5.2,22.0,10.0,0.0,0.0,0.0,Mountain West Conference,Colorado State,colorado-state,0.5339,0.5208,,,2,2.584762277,0.950322831,Primary Creator,1.446326669773841,71.0,1.7333333333333334,0.4285714285714286,1.7708,2.5,0,58.16
Jalynn Gregory,Jalynn Gregory,G,1,2025,1243,37.0,37.0,4.0,10.3,0.3899999999999999,2.7,7.400000000000001,0.364,1.3,2.9,0.455,0.521,2.3,2.6,0.911,0.3999999999999999,3.7000000000000006,4.1,1.8,1.8,0.1999999999999999,1.7000000000000002,2.5,13.0,22.9,0.53,0.272,0.365,3.4000000000000004,16.6,0.104,0.114,1.6,4.0,14.0,0.272,3.4000000000000004,3.3,6.7,0.217,3.9,2.7,6.6,26.0,9.0,0.0,0.0,0.0,Conference USA,Middle Tennessee,middle-tennessee,0.5442,0.5237,,,2,3.073747911,1.323913156,Primary Creator,1.2198092568541348,112.0,1.0,0.7115384615384617,0.5915,5.3,0,61.67
Naudia Evans,Naudia Evans,G,1,2025,1105,36.8,36.8,5.4,16.4,0.33,1.5,5.5,0.28,3.9,10.9,0.355,0.377,3.5000000000000004,4.4,0.797,0.6,4.7,5.2,5.9,1.6,0.2,3.6,1.5,15.900000000000002,19.0,0.429,0.334,0.271,1.7,15.900000000000002,0.083,0.3829999999999999,2.5,0.5,16.3,0.31,1.6,1.1,2.7,0.097,1.5,-1.8,-0.3,14.000000000000002,16.0,0.0,0.0,0.0,West Coast Conference,Loyola Marymount,loyola-marymount,0.468,0.4701,,,2,4.967976752,0.480191642,Primary Creator,0.3365447659982672,427.0,1.5945945945945943,0.3333333333333333,1.3845,2.9000000000000004,0,42.65
Megan McConnell,Megan McConnell,G,1,2025,1251,36.8,36.8,6.6000000000000005,14.2,0.469,2.2,6.6000000000000005,0.33,4.5,7.6,0.589,0.546,2.9,4.7,0.625,1.5,5.6,7.200000000000001,5.0,4.1,0.3,2.6,1.8000000000000005,18.4,30.100000000000005,0.561,0.4649999999999999,0.332,4.3,16.3,0.103,0.301,5.900000000000001,0.8,13.5,0.243,5.3,3.2,8.4,0.27,7.000000000000001,4.5,11.4,21.0,13.0,0.0,0.0,0.0,Atlantic 10 Conference,Duquesne,duquesne,0.5056,0.4979,,,2,6.574728322,0.87383511,Primary Creator,1.849076263641004,32.0,1.8518518518518516,0.4615384615384616,2.6505,7.6,0,71.91
Kymora Johnson,Kymora Johnson,G,1,2025,1175,36.7,36.7,6.400000000000001,14.5,0.4419999999999999,2.1,5.5,0.384,4.3,9.0,0.477,0.515,3.0,3.3999999999999995,0.889,0.4000000000000001,5.5,6.0,5.8,1.9,0.4000000000000001,3.5,1.8,17.9,25.0,0.557,0.381,0.233,1.3,14.900000000000002,0.084,0.337,2.8,1.1,17.9,0.253,4.2,1.4,5.7,0.193,6.2,2.7,8.9,17.0,15.000000000000002,0.0,0.0,0.0,Atlantic Coast Conference,Virginia,virginia,0.5442,0.5363,,,2,4.87062876,1.02221164,Primary Creator,1.216495246293201,114.0,1.611111111111111,0.3767123287671233,2.0511,3.7,0,63.06
Caia Elisaldez,Caia Elisaldez,G,1,2025,1222,36.7,36.7,5.5,11.2,0.486,0.6,2.4,0.257,4.8,8.8,0.547,0.513,2.6,3.4000000000000004,0.755,0.7,2.0,2.7,4.9,1.1,0.0,3.7,2.8,14.1,15.400000000000002,0.553,0.616,0.123,2.6,13.2,0.081,0.161,3.6,0.7,18.0,0.118,2.1,2.7,4.8,0.157,-0.0999999999999999,3.1000000000000005,2.9,17.0,15.0,0.0,0.0,0.0,Southern Conference,Chattanooga,chattanooga,0.5233,0.5037,,,2,2.24043376,0.43584971,Primary Creator,-0.6518540170641408,920.0,1.2894736842105263,0.2123893805309734,2.6256,3.8,0,52.2
Georgia Amoore,Georgia Amoore,G,1,2025,1137,36.7,36.7,7.1000000000000005,16.8,0.423,2.5,7.500000000000001,0.336,4.6,9.4,0.493,0.498,2.8,3.3999999999999995,0.8370000000000001,0.4,1.9,2.3,6.9,1.0,0.4,3.1,1.6,19.6,24.6,0.531,0.444,0.199,1.1,5.0,0.032,0.368,1.6,0.8999999999999999,14.3,0.285,4.9,1.1,6.0,0.2119999999999999,8.3,1.7999999999999998,10.1,23.0,8.0,0.0,0.0,0.0,Southeastern Conference,Kentucky,kentucky,0.6148,0.5897,,,2,4.451560171,1.716333545,Primary Creator,1.7318519877775267,42.0,2.15625,0.4437869822485207,2.2678,2.5,0,63.82
Taleah Washington,Taleah Washington,G,1,2025,751,36.7,36.7,4.3,13.5,0.32,1.2,4.9,0.245,3.1,8.5,0.364,0.365,4.3,5.700000000000001,0.743,0.8999999999999999,3.4,4.4,4.6,1.1,0.3,4.3,2.2,14.1,13.9,0.521,0.05,0.518,5.9,7.400000000000001,0.066,0.175,4.6,0.3,29.600000000000005,0.1669999999999999,0.4,0.8999999999999999,1.3,0.07,-5.0,-1.1,-6.1,8.0,21.0,0.0,0.0,0.0,Northeast Conference,Wagner,wagner,0.3829,0.3967,,,2,4.195201239,0.193813219,Primary Creator,-1.0159927304128908,1043.0,1.0454545454545454,0.3602941176470589,1.1284,2.3,0,37.86
