player,player_id,pos,team,conference,archetype,cluster,pts_per_g,ast_per_g,treb_per_g,blk_per_g,stl_per_g,ts_pct,bpm,usg_pct,readiness_score,n_seasons,height_in,weight_lbs,trend_bpm,trend_pts_per_g,Atlanta Dream_fit,Atlanta Dream_total,Chicago Sky_fit,Chicago Sky_total,Connecticut Sun_fit,Connecticut Sun_total,Dallas Wings_fit,Dallas Wings_total,Indiana Fever_fit,Indiana Fever_total,Las Vegas Aces_fit,Las Vegas Aces_total,Los Angeles Sparks_fit,Los Angeles Sparks_total,Minnesota Lynx_fit,Minnesota Lynx_total,New York Liberty_fit,New York Liberty_total,Phoenix Mercury_fit,Phoenix Mercury_total,Seattle Storm_fit,Seattle Storm_total,Washington Mystics_fit,Washington Mystics_total
Gabi Vidmar,gabi-vidmar-1,"pos    G
pos    G
Name: 355, dtype: object",Cal State Fullerton,Big West Conference,Floor General,2.0,9.362666996952289,2.2019317619797083,4.3985642131905065,0.2719805034227738,2.1739122654024823,0.522229213361193,2.3489805721198618,15.501564860561936,57.67,3,70.0,,1.3500000000003085,2.550000000000666,0.1567,0.8287,0.141,0.8314,0.0087,0.8321,0.5415,1.1969,0.2711,1.5106,0.0971,1.4076,0.3321,1.1007,-0.0024,0.5916,0.0,0.7092,0.1812,1.2372,0.0542,0.9948,0.0456,0.7761
Megan McConnell,megan-mcconnell-1,"pos    G
pos    G
Name: 74, dtype: object",Duquesne,Atlantic 10 Conference,Floor General,2.0,14.89387909158395,4.882001020650389,7.946375061418258,0.3170569504648887,3.043452123811098,0.5529052307573599,8.679160821940101,20.4926049123049,48.29,4,67.0,,2.400000000000187,3.0700000000002907,0.8713,0.682,0.7853,0.698,0.0546,0.7899,1.2783,1.1686,0.5353,1.5996,0.2431,1.7652,0.8632,1.0349,0.0112,0.571,0.0,0.0171,0.5285,1.5573,0.1678,0.9012,0.5916,0.8863
Addie Porter,addie-porter-1,"pos    G
pos    G
Name: 10034, dtype: object",Clemson,Atlantic Coast Conference,3-and-D Wing,0.0,4.875822116966882,2.05041347193822,4.619344457618988,0.1699392321139788,1.0400213599415975,0.4668526334171395,-0.4553021313523865,12.951016849489909,48.02,4,64.0,,2.0299999999999963,-1.500000000000271,-0.3144,-0.2427,-0.2657,-0.2331,-0.0001,-0.0047,0.1857,0.1645,0.0599,0.1743,0.0344,0.2447,-0.1148,-0.1381,-0.0037,-0.1855,0.0,-0.0028,0.0913,0.2632,0.0073,0.0354,0.0051,0.0047
Lauren Park-Lane,lauren-park-lane-1,"pos    G
pos    G
Name: 1791, dtype: object",Mississippi State,Southeastern Conference,Floor General,2.0,14.81665840806722,6.360289657483817,2.7908314577846993,0.0971512960528334,1.1006224303738017,0.5047864269887807,4.8008699213319765,23.974390916848744,47.73,3,63.0,,-0.9999999999996868,-4.5499999999982474,0.2993,0.2042,0.2813,0.2197,-0.0041,-0.0829,-0.1849,-0.1908,0.0942,0.2544,0.0596,0.4044,0.1936,0.204,-0.0009,-0.07,0.0,-0.0242,0.0743,0.1922,0.0373,0.1723,0.0452,0.0423
Courtney Whitson,courtney-whitson-1,"pos    F
pos    F
Name: 47, dtype: object",Middle Tennessee,Conference USA,Stretch Big,5.0,10.034002241797548,2.167903554910102,7.075471122689078,0.3,1.0353322865369097,0.4987216541387012,4.3253873505542275,16.24473253186435,56.58,3,72.0,,0.1000000000001126,-1.6499999999996762,0.2784,0.8412,0.2737,0.8661,0.0277,1.0204,0.2983,0.8975,0.0533,0.7863,0.0491,0.9818,0.1375,0.7909,0.0058,0.9139,0.0,0.6288,0.1679,1.1182,0.0639,0.9653,0.3393,1.1272
Benthe Versteeg,benthe-versteeg-1,"pos    G
pos    G
Name: 520, dtype: object",Sacramento State,Big Sky Conference,Interior Big,3.0,11.321031536156942,5.3712078845063544,4.638031219979253,0.3185839380323195,1.480910265513745,0.4367100498211023,-3.446632344191443,24.96472988900162,49.98,4,69.0,,0.8800000000000189,2.97999999999937,0.0688,0.1944,0.0897,0.2196,0.0035,0.1911,0.1561,0.2824,0.1691,0.6416,0.1018,0.8738,0.1317,0.297,0.0055,0.4113,0.0,0.1418,0.1935,0.7056,0.0048,0.1669,0.178,0.4033
Lauren Gustin,lauren-gustin-1,"pos    F
pos    F
Name: 73, dtype: object",Brigham Young,Big 12 Conference,Interior Big,3.0,15.687918580181108,1.7587310051344467,15.268044175035124,0.3003662797610344,0.6750907012135992,0.5041532287213876,3.8711821796210097,25.416705392888744,40.48,3,73.0,,-1.000000000000229,3.0000000000006177,1.2694,0.4097,1.166,0.4518,0.1087,0.9797,0.5276,-0.0838,-0.0604,-0.7377,0.124,0.3322,0.2793,-0.2298,0.0309,0.9669,0.0,-0.5591,0.4757,0.8273,0.2078,0.5359,1.4112,1.5141
Amani Johnson,amani-johnson-1,"pos    G
pos    G
Name: 105, dtype: object",Kennesaw State,Atlantic Sun Conference,Floor General,2.0,11.259823457653797,4.753817454116717,3.5289107282373853,0.1634543635291793,1.5365456364708203,0.4581001000589512,-1.3767221788170223,19.359823457653796,56.16,2,66.0,,-2.79999999999889,-2.899999999998852,-0.0858,0.5323,-0.0577,0.5478,-0.0098,0.459,-0.0282,0.5724,0.1225,0.96,0.0657,1.0704,0.0322,0.6357,-0.0021,0.4946,0.0,0.5978,0.1003,0.8901,-0.0051,0.571,-0.0023,0.5944
Anna DeWolfe,anna-dewolfe-1,"pos    G
pos    G
Name: 3102, dtype: object",Notre Dame,Atlantic Coast Conference,Floor General,2.0,13.596196670635088,2.551648252574489,2.1752914108991415,0.1,1.2444876199947212,0.5193688374506107,4.296175287323692,21.6211542121136,49.99,3,68.0,,2.0999999999993224,-4.549999999998432,0.411,0.4562,0.364,0.4581,-0.0004,0.1368,-0.0168,0.1274,0.0895,0.407,0.0081,0.2009,0.2911,0.4858,0.0003,0.1597,0.0,0.1426,-0.0238,0.0731,0.0228,0.2625,-0.0517,0.0667
Meri Kanerva,meri-kanerva-1,"pos    G
pos    G
Name: 9, dtype: object",Xavier,Big East Conference,Floor General,2.0,10.488430077223802,3.72344087398918,2.464688174797836,0.064688174797836,1.1706236504043277,0.4749526863814065,-1.6940645243935082,20.259655784501703,47.21,2,69.0,,-0.3000000000000732,-1.100000000000269,-0.0131,-0.0725,-0.0137,-0.0744,-0.0134,-0.2523,-0.1989,-0.2417,0.0519,0.0908,0.0212,0.0902,0.0024,-0.0597,-0.0042,-0.2688,0.0,-0.0626,-0.0008,-0.0648,-0.001,-0.0676,-0.1239,-0.2446
