season_year,team_id,team,conference,win_pct,conf_opp_win_pct,overall_opp_win_pct,opp_win_pct
2018,mississippi-state,Mississippi State,Southeastern Conference,0.9487,0.5705,0.4998,0.5493
2018,south-carolina,South Carolina,Southeastern Conference,0.8056,0.5816,0.4998,0.557
2018,georgia,Georgia,Southeastern Conference,0.7879,0.5829,0.4998,0.558
2018,tennessee,Tennessee,Southeastern Conference,0.7576,0.5852,0.4998,0.5596
2018,missouri,Missouri,Southeastern Conference,0.75,0.5858,0.4998,0.56
2018,texas-am,Texas A&M,Southeastern Conference,0.7222,0.588,0.4998,0.5615
2018,louisiana-state,Louisiana State,Southeastern Conference,0.6552,0.5931,0.4998,0.5651
2018,alabama,Alabama,Southeastern Conference,0.5882,0.5983,0.4998,0.5687
2018,kentucky,Kentucky,Southeastern Conference,0.4688,0.6075,0.4998,0.5752
2018,auburn,Auburn,Southeastern Conference,0.4828,0.6064,0.4998,0.5744
2018,arkansas,Arkansas,Southeastern Conference,0.4194,0.6113,0.4998,0.5778
2018,florida,Florida,Southeastern Conference,0.3667,0.6153,0.4998,0.5807
2018,vanderbilt,Vanderbilt,Southeastern Conference,0.2258,0.6262,0.4998,0.5883
2018,mississippi,Mississippi,Southeastern Conference,0.3871,0.6137,0.4998,0.5796
2018,ohio-state,Ohio State,Big Ten Conference,0.8,0.5747,0.4998,0.5522
2018,maryland,Maryland,Big Ten Conference,0.7647,0.5774,0.4998,0.5541
2018,iowa,Iowa,Big Ten Conference,0.75,0.5785,0.4998,0.5549
2018,minnesota,Minnesota,Big Ten Conference,0.7273,0.5803,0.4998,0.5562
2018,nebraska,Nebraska,Big Ten Conference,0.6562,0.5858,0.4998,0.56
2018,michigan,Michigan,Big Ten Conference,0.697,0.5826,0.4998,0.5578
2018,indiana,Indiana,Big Ten Conference,0.6216,0.5884,0.4998,0.5618
2018,purdue,Purdue,Big Ten Conference,0.5882,0.591,0.4998,0.5636
2018,rutgers,Rutgers,Big Ten Conference,0.625,0.5882,0.4998,0.5617
2018,michigan-state,Michigan State,Big Ten Conference,0.5758,0.592,0.4998,0.5643
2018,penn-state,Penn State,Big Ten Conference,0.5,0.5978,0.4998,0.5684
2018,northwestern,Northwestern,Big Ten Conference,0.375,0.6074,0.4998,0.5751
2018,wisconsin,Wisconsin,Big Ten Conference,0.3,0.6132,0.4998,0.5792
2018,illinois,Illinois,Big Ten Conference,0.2903,0.6139,0.4998,0.5797
2018,louisville,Louisville,Atlantic Coast Conference,0.9231,0.5857,0.4998,0.5599
2018,notre-dame,Notre Dame,Atlantic Coast Conference,0.9211,0.5858,0.4998,0.56
2018,florida-state,Florida State,Atlantic Coast Conference,0.7879,0.5953,0.4998,0.5667
2018,north-carolina-state,NC State,Atlantic Coast Conference,0.7429,0.5985,0.4998,0.5689
2018,duke,Duke,Atlantic Coast Conference,0.7273,0.5997,0.4998,0.5697
2018,syracuse,Syracuse,Atlantic Coast Conference,0.7097,0.6009,0.4998,0.5706
2018,miami-fl,Miami (FL),Atlantic Coast Conference,0.6562,0.6047,0.4998,0.5733
2018,virginia,Virginia,Atlantic Coast Conference,0.5758,0.6105,0.4998,0.5773
2018,virginia-tech,Virginia Tech,Atlantic Coast Conference,0.6216,0.6072,0.4998,0.575
2018,georgia-tech,Georgia Tech,Atlantic Coast Conference,0.5882,0.6096,0.4998,0.5767
2018,wake-forest,Wake Forest,Atlantic Coast Conference,0.4516,0.6193,0.4998,0.5835
2018,north-carolina,North Carolina,Atlantic Coast Conference,0.4839,0.617,0.4998,0.5819
2018,pittsburgh,Pittsburgh,Atlantic Coast Conference,0.3333,0.6278,0.4998,0.5894
2018,boston-college,Boston College,Atlantic Coast Conference,0.2333,0.6349,0.4998,0.5944
2018,clemson,Clemson,Atlantic Coast Conference,0.3667,0.6254,0.4998,0.5877
2018,baylor,Baylor,Big 12 Conference,0.9429,0.5446,0.4998,0.5312
2018,texas,Texas,Big 12 Conference,0.8,0.5605,0.4998,0.5423
