player,player_href,season_year,pos,g,mpg,pts_per_g,ast_per_g,trb_per_g,blk_per_g,stl_per_g,three_rate,inside_score,fta_per_g,fg3_pct,treb_pct,oreb_pct,blk_per_g,usg_pct,ast_pct,tov_per_g,pos_encoded,cluster,archetype,pca1,pca2
Natalie Achonwa,/wnba/players/a/achonna01w.html,2019,F,30,21.2,8.7,1.6,5.2,0.7,0.6,0.0588,1.6096,2.2,0.25,0.142,0.09,0.7,0.185,0.134,1.0,0.5,2,Stretch Big,1.8472968157578393,-1.1585701264945512
Rebecca Allen,/wnba/players/a/allenre01w.html,2019,F-G,24,17.2,7.2,0.7,2.5,0.8,0.5,0.4308,0.6135,0.7,0.426,0.084,0.033,0.8,0.191,0.07400000000000001,0.7,0.25,2,Stretch Big,-0.9773404603830478,-1.2629793374360934
Ariel Atkins,/wnba/players/a/atkinar01w.html,2019,G,33,24.4,10.3,2.0,2.8,0.5,1.5,0.4778,1.0362,1.6,0.357,0.07,0.037000000000000005,0.5,0.2,0.122,1.0,0.0,3,Floor General,-1.2129768181740348,-0.16058256393030837
Seimone Augustus,/wnba/players/a/augusse01w.html,2019,G-F,12,13.0,3.8,1.3,0.6,0.1,0.4,0.1887,0.519,0.3,0.167,0.027999999999999997,0.016,0.1,0.22399999999999998,0.153,1.0,0.25,1,3-and-D Wing,-1.609733919579423,-0.4477235954679447
Rachel Banham,/wnba/players/b/banhara01w.html,2019,G,29,12.2,3.6,0.9,1.0,0.1,0.3,0.625,0.1745,0.4,0.306,0.049,0.003,0.1,0.18,0.114,0.9,0.0,3,Floor General,-2.9894557080294524,-0.7161187625428638
Alana Beard,/wnba/players/b/beardal01w.html,2019,G-F,16,14.7,3.3,1.4,1.5,0.2,0.8,0.0968,0.6201,0.6,0.2,0.057999999999999996,0.01,0.2,0.11699999999999999,0.14800000000000002,0.6,0.25,1,3-and-D Wing,-1.5789221744494717,-1.6287520436428808
Alex Bentley,/wnba/players/b/bentlal01w.html,2019,G,29,21.9,9.0,3.0,1.9,0.3,0.7,0.4234,0.8234,1.2,0.235,0.045,0.016,0.3,0.267,0.281,1.5,0.0,3,Floor General,-1.662971687341007,1.53909151500069
Monique Billings,/wnba/players/b/billimo01w.html,2019,F,29,19.1,5.5,0.6,6.9,0.4,0.6,0.0,0.7315,2.1,1.0,0.193,0.115,0.4,0.17300000000000001,0.054000000000000006,1.6,0.5,2,Stretch Big,1.5549766817485347,-1.2019442890921617
DeWanna Bonner,/wnba/players/b/bonnede01w.html,2019,G-F,34,32.9,17.2,2.7,7.6,0.6,1.3,0.3784,1.8081,4.9,0.272,0.134,0.036000000000000004,0.6,0.267,0.162,1.6,0.25,5,Combo Guard,1.2257083929173522,1.6521739032553018
Brittany Boyd,/wnba/players/b/boydbr01w.html,2019,G,33,19.7,5.3,4.6,3.7,0.1,1.4,0.1273,0.7752,1.0,0.304,0.106,0.047,0.1,0.18600000000000003,0.382,2.5,0.0,3,Floor General,-0.7639253230809643,1.514663575544209
Imani McGee-Stafford,/wnba/players/b/boyetim01w.html,2019,C,29,11.9,3.9,0.6,3.8,0.6,0.6,0.0263,0.8092,0.5,0.25,0.19,0.14300000000000002,0.6,0.19899999999999998,0.10400000000000001,1.2,1.0,2,Stretch Big,2.8701945982010777,-2.7480645309810576
