,Team,stat,weighted_deficit,deficit,weight,direction
0,Minnesota Lynx,PTS_per_100,-0.174986,-1.635109,0.107018,1.0
1,Los Angeles Sparks,PTS_per_100,-0.053797,-0.502692,0.107018,1.0
2,Indiana Fever,PTS_per_100,-0.07652,-0.71502,0.107018,1.0
3,Atlanta Dream,PTS_per_100,-0.12954,-1.210453,0.107018,1.0
4,New York Liberty,PTS_per_100,-0.073995,-0.691428,0.107018,1.0
5,Las Vegas Aces,PTS_per_100,-0.068946,-0.644244,0.107018,1.0
6,Phoenix Mercury,PTS_per_100,-0.013401,-0.125219,0.107018,1.0
7,Seattle Storm,PTS_per_100,0.021946,0.205069,0.107018,1.0
8,Dallas Wings,PTS_per_100,0.052243,0.488174,0.107018,1.0
9,Golden State Valkyries,PTS_per_100,0.037095,0.346621,0.107018,1.0
10,Washington Mystics,PTS_per_100,0.135561,1.26671,0.107018,1.0
11,Chicago Sky,PTS_per_100,0.165858,1.549815,0.107018,1.0
12,Connecticut Sun,PTS_per_100,0.178482,1.667775,0.107018,1.0
13,Minnesota Lynx,FG.,-0.179187,-1.811144,0.098936,1.0
14,Los Angeles Sparks,FG.,-0.097357,-0.984041,0.098936,1.0
15,Indiana Fever,FG.,-0.091902,-0.928901,0.098936,1.0
16,Atlanta Dream,FG.,-0.020982,-0.212078,0.098936,1.0
17,New York Liberty,FG.,-0.075536,-0.76348,0.098936,1.0
18,Las Vegas Aces,FG.,0.000839,0.008483,0.098936,1.0
19,Phoenix Mercury,FG.,0.033571,0.339324,0.098936,1.0
20,Seattle Storm,FG.,-0.05917,-0.598059,0.098936,1.0
21,Dallas Wings,FG.,0.088125,0.890727,0.098936,1.0
22,Golden State Valkyries,FG.,0.175411,1.77297,0.098936,1.0
23,Washington Mystics,FG.,0.000839,0.008483,0.098936,1.0
24,Chicago Sky,FG.,0.077214,0.780446,0.098936,1.0
25,Connecticut Sun,FG.,0.148134,1.497269,0.098936,1.0
26,Minnesota Lynx,opp_FG%_per_game,-0.096194,-0.985766,0.097583,-1.0
27,Los Angeles Sparks,opp_FG%_per_game,0.081605,0.836266,0.097583,-1.0
28,Indiana Fever,opp_FG%_per_game,0.057899,0.593328,0.097583,-1.0
29,Atlanta Dream,opp_FG%_per_game,-0.060634,-0.62136,0.097583,-1.0
30,New York Liberty,opp_FG%_per_game,-0.090267,-0.925032,0.097583,-1.0
31,Las Vegas Aces,opp_FG%_per_game,-0.019148,-0.196219,0.097583,-1.0
32,Phoenix Mercury,opp_FG%_per_game,-0.072487,-0.742828,0.097583,-1.0
33,Seattle Storm,opp_FG%_per_game,0.022339,0.228922,0.097583,-1.0
34,Dallas Wings,opp_FG%_per_game,0.117165,1.200672,0.097583,-1.0
35,Golden State Valkyries,opp_FG%_per_game,-0.202874,-2.078985,0.097583,-1.0
36,Washington Mystics,opp_FG%_per_game,0.028266,0.289656,0.097583,-1.0
37,Chicago Sky,opp_FG%_per_game,0.075679,0.775532,0.097583,-1.0
38,Connecticut Sun,opp_FG%_per_game,0.158652,1.625813,0.097583,-1.0
39,Minnesota Lynx,TS.,-0.137309,-1.431659,0.095909,1.0
40,Los Angeles Sparks,TS.,-0.095632,-0.997114,0.095909,1.0
41,Indiana Fever,TS.,-0.051283,-0.534705,0.095909,1.0
42,Atlanta Dream,TS.,-0.05908,-0.616004,0.095909,1.0
43,New York Liberty,TS.,-0.143268,-1.493789,0.095909,1.0
44,Las Vegas Aces,TS.,-0.044936,-0.468533,0.095909,1.0
45,Phoenix Mercury,TS.,0.000699,0.007286,0.095909,1.0
46,Seattle Storm,TS.,0.015093,0.157364,0.095909,1.0
47,Dallas Wings,TS.,0.124692,1.300107,0.095909,1.0
48,Golden State Valkyries,TS.,0.052514,0.547537,0.095909,1.0
49,Washington Mystics,TS.,0.055047,0.573945,0.095909,1.0
50,Chicago Sky,TS.,0.117485,1.224962,0.095909,1.0
51,Connecticut Sun,TS.,0.16598,1.730602,0.095909,1.0
52,Minnesota Lynx,Opp_eFG,-0.08386,-0.993541,0.084405,-1.0
53,Los Angeles Sparks,Opp_eFG,0.100332,1.188697,0.084405,-1.0
54,Indiana Fever,Opp_eFG,0.013071,0.15486,0.084405,-1.0
55,Atlanta Dream,Opp_eFG,-0.089826,-1.064226,0.084405,-1.0
56,New York Liberty,Opp_eFG,-0.071623,-0.848568,0.084405,-1.0
57,Las Vegas Aces,Opp_eFG,-0.05161,-0.611456,0.084405,-1.0
58,Phoenix Mercury,Opp_eFG,-0.056142,-0.665153,0.084405,-1.0
59,Seattle Storm,Opp_eFG,-0.012395,-0.146853,0.084405,-1.0
60,Dallas Wings,Opp_eFG,0.132193,1.566179,0.084405,-1.0
61,Golden State Valkyries,Opp_eFG,-0.11748,-1.391861,0.084405,-1.0
62,Washington Mystics,Opp_eFG,0.01937,0.229485,0.084405,-1.0
63,Chicago Sky,Opp_eFG,0.089369,1.058811,0.084405,-1.0
64,Connecticut Sun,Opp_eFG,0.128602,1.523626,0.084405,-1.0
65,Minnesota Lynx,percent_2FGM,0.038114,0.470644,0.080982,1.0
66,Los Angeles Sparks,percent_2FGM,0.011534,0.142422,0.080982,1.0
67,Indiana Fever,percent_2FGM,-0.020775,-0.256533,0.080982,1.0
68,Atlanta Dream,percent_2FGM,0.071804,0.886662,0.080982,1.0
69,New York Liberty,percent_2FGM,0.07521,0.928723,0.080982,1.0
70,Las Vegas Aces,percent_2FGM,0.050544,0.624141,0.080982,1.0
71,Phoenix Mercury,percent_2FGM,0.067669,0.83561,0.080982,1.0
72,Seattle Storm,percent_2FGM,-0.060063,-0.741684,0.080982,1.0
73,Dallas Wings,percent_2FGM,-0.098404,-1.21513,0.080982,1.0
74,Golden State Valkyries,percent_2FGM,0.151658,1.872741,0.080982,1.0
75,Washington Mystics,percent_2FGM,-0.123786,-1.528567,0.080982,1.0
76,Chicago Sky,percent_2FGM,-0.069292,-0.855642,0.080982,1.0
77,Connecticut Sun,percent_2FGM,-0.094214,-1.163389,0.080982,1.0
78,Minnesota Lynx,opp_percent_2FGM,0.005217,0.064426,0.080982,-1.0
79,Los Angeles Sparks,opp_percent_2FGM,-0.094003,-1.160785,0.080982,-1.0
80,Indiana Fever,opp_percent_2FGM,0.093808,1.158385,0.080982,-1.0
81,Atlanta Dream,opp_percent_2FGM,0.127951,1.579989,0.080982,-1.0
82,New York Liberty,opp_percent_2FGM,0.001445,0.017847,0.080982,-1.0
83,Las Vegas Aces,opp_percent_2FGM,0.093483,1.154369,0.080982,-1.0
84,Phoenix Mercury,opp_percent_2FGM,0.001108,0.013677,0.080982,-1.0
85,Seattle Storm,opp_percent_2FGM,0.080623,0.995569,0.080982,-1.0
86,Dallas Wings,opp_percent_2FGM,-0.094029,-1.16111,0.080982,-1.0
87,Golden State Valkyries,opp_percent_2FGM,-0.14783,-1.825465,0.080982,-1.0
88,Washington Mystics,opp_percent_2FGM,0.009417,0.116286,0.080982,-1.0
89,Chicago Sky,opp_percent_2FGM,-0.071871,-0.887492,0.080982,-1.0
90,Connecticut Sun,opp_percent_2FGM,-0.00532,-0.065697,0.080982,-1.0
91,Minnesota Lynx,AST_per_100,-0.175019,-2.24974,0.077795,1.0
92,Los Angeles Sparks,AST_per_100,0.009008,0.115795,0.077795,1.0
93,Indiana Fever,AST_per_100,-0.003539,-0.045491,0.077795,1.0
94,Atlanta Dream,AST_per_100,-0.07464,-0.959448,0.077795,1.0
95,New York Liberty,AST_per_100,-0.07464,-0.959448,0.077795,1.0
96,Las Vegas Aces,AST_per_100,0.038285,0.492131,0.077795,1.0
97,Phoenix Mercury,AST_per_100,-0.024451,-0.314302,0.077795,1.0
98,Seattle Storm,AST_per_100,-0.036998,-0.475588,0.077795,1.0
99,Dallas Wings,AST_per_100,0.02992,0.384606,0.077795,1.0
100,Golden State Valkyries,AST_per_100,0.059197,0.760942,0.077795,1.0
101,Washington Mystics,AST_per_100,0.055015,0.707179,0.077795,1.0
102,Chicago Sky,AST_per_100,0.042468,0.545893,0.077795,1.0
103,Connecticut Sun,AST_per_100,0.155393,1.997471,0.077795,1.0
104,Minnesota Lynx,DRB_per_100,-0.020104,-0.269096,0.07471,1.0
105,Los Angeles Sparks,DRB_per_100,0.052732,0.705826,0.07471,1.0
106,Indiana Fever,DRB_per_100,0.065586,0.877871,0.07471,1.0
107,Atlanta Dream,DRB_per_100,-0.144355,-1.932198,0.07471,1.0
108,New York Liberty,DRB_per_100,-0.071518,-0.957276,0.07471,1.0
109,Las Vegas Aces,DRB_per_100,0.005603,0.074994,0.07471,1.0
110,Phoenix Mercury,DRB_per_100,-0.011535,-0.154399,0.07471,1.0
111,Seattle Storm,DRB_per_100,0.099862,1.336658,0.07471,1.0
112,Dallas Wings,DRB_per_100,0.039879,0.533781,0.07471,1.0
113,Golden State Valkyries,DRB_per_100,-0.114363,-1.53076,0.07471,1.0
114,Washington Mystics,DRB_per_100,0.005603,0.074994,0.07471,1.0
115,Chicago Sky,DRB_per_100,-0.024389,-0.326444,0.07471,1.0
116,Connecticut Sun,DRB_per_100,0.117,1.566051,0.07471,1.0
117,Minnesota Lynx,opp_3FG%_per_game,-0.020161,-0.284001,0.070988,-1.0
118,Los Angeles Sparks,opp_3FG%_per_game,0.091706,1.291857,0.070988,-1.0
119,Indiana Fever,opp_3FG%_per_game,-0.026553,-0.37405,0.070988,-1.0
120,Atlanta Dream,opp_3FG%_per_game,-0.052123,-0.734246,0.070988,-1.0
121,New York Liberty,opp_3FG%_per_game,-0.0713,-1.004393,0.070988,-1.0
122,Las Vegas Aces,opp_3FG%_per_game,-0.068104,-0.959368,0.070988,-1.0
123,Phoenix Mercury,opp_3FG%_per_game,-0.052123,-0.734246,0.070988,-1.0
124,Seattle Storm,opp_3FG%_per_game,-0.00418,-0.058878,0.070988,-1.0
125,Dallas Wings,opp_3FG%_per_game,0.162023,2.282396,0.070988,-1.0
126,Golden State Valkyries,opp_3FG%_per_game,-0.064907,-0.914344,0.070988,-1.0
127,Washington Mystics,opp_3FG%_per_game,-0.023357,-0.329025,0.070988,-1.0
128,Chicago Sky,opp_3FG%_per_game,0.091706,1.291857,0.070988,-1.0
129,Connecticut Sun,opp_3FG%_per_game,0.037371,0.52644,0.070988,-1.0
130,Minnesota Lynx,TRB_per_100,-0.022889,-0.346844,0.065991,1.0
131,Los Angeles Sparks,TRB_per_100,0.060083,0.910465,0.065991,1.0
132,Indiana Fever,TRB_per_100,0.031472,0.47691,0.065991,1.0
133,Atlanta Dream,TRB_per_100,-0.117304,-1.777575,0.065991,1.0
134,New York Liberty,TRB_per_100,0.017166,0.260133,0.065991,1.0
135,Las Vegas Aces,TRB_per_100,0.014305,0.216777,0.065991,1.0
136,Phoenix Mercury,TRB_per_100,-0.014305,-0.216777,0.065991,1.0
137,Seattle Storm,TRB_per_100,0.125887,1.907642,0.065991,1.0
138,Dallas Wings,TRB_per_100,-0.02575,-0.390199,0.065991,1.0
139,Golden State Valkyries,TRB_per_100,-0.097276,-1.474087,0.065991,1.0
140,Washington Mystics,TRB_per_100,0.028611,0.433555,0.065991,1.0
141,Chicago Sky,TRB_per_100,-0.071527,-1.083887,0.065991,1.0
142,Connecticut Sun,TRB_per_100,0.071527,1.083887,0.065991,1.0
143,Minnesota Lynx,opp_AST_per_100,-0.073559,-1.136923,0.0647,-1.0
144,Los Angeles Sparks,opp_AST_per_100,0.090126,1.392986,0.0647,-1.0
145,Indiana Fever,opp_AST_per_100,-0.064944,-1.00377,0.0647,-1.0
146,Atlanta Dream,opp_AST_per_100,-0.064944,-1.00377,0.0647,-1.0
147,New York Liberty,opp_AST_per_100,-0.030484,-0.471157,0.0647,-1.0
148,Las Vegas Aces,opp_AST_per_100,0.008284,0.128032,0.0647,-1.0
149,Phoenix Mercury,opp_AST_per_100,-0.043406,-0.670887,0.0647,-1.0
150,Seattle Storm,opp_AST_per_100,-0.056329,-0.870617,0.0647,-1.0
151,Dallas Wings,opp_AST_per_100,0.120279,1.859022,0.0647,-1.0
152,Golden State Valkyries,opp_AST_per_100,-0.021869,-0.338004,0.0647,-1.0
153,Washington Mystics,opp_AST_per_100,-0.013254,-0.204851,0.0647,-1.0
154,Chicago Sky,opp_AST_per_100,0.072896,1.12668,0.0647,-1.0
155,Connecticut Sun,opp_AST_per_100,0.077204,1.193257,0.0647,-1.0
